id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
173,Observable construction,Specific observable construction + as_dynamic,103.023,98.4437,123.599,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
174,Observer construction,Specific observer construction,0.806432,0.804474,0.810792,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
175,Observer construction,Dynamic observer construction,98.207,97.8822,98.9363,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
176,Observer construction,Specific observer construction + as_dynamic,99.129,98.1097,102.184,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
177,OnNext,Specific observer OnNext,0.806169,0.803579,0.813447,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
178,OnNext,Dynamic observer OnNext,2.14817,2.07208,2.29353,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
179,Subscriber construction,Make subsriber,116.777,116.104,118.182,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
180,Subscriber construction,Make copy of subscriber,20.124,20.0792,20.2157,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
181,Subscriber construction,Transform subsriber to dynamic,112.655,112.045,114.326,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
182,Observable subscribe,Specific observable subscribe specific observer,141.633,140.927,143.028,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
183,Observable subscribe,Specific observable subscribe dynamic observer,154.396,153.939,155.305,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
184,Observable subscribe,Dynamic observable subscribe specific observer,250.016,249.041,252.52,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
185,Observable subscribe,Dynamic observable subscribe dynamic observer,161.853,161.289,162.995,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
186,Observable lift,Specific observable lift specific observer,180.311,179.696,181.484,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
187,Observable lift,Specific observable lift dynamic observer,209.014,207.928,211.819,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
188,Observable lift,Dynamic observable lift specific observer,309.427,308.062,313.031,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
189,Observable lift,Dynamic observable lift dynamic observer,295.301,272.992,336.439,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
190,Observable construction,Specific observable construction,0.590296,0.590182,0.590496,0.95,Linux GCC,make more beautiful (d09041d2),rpp
191,Observable construction,Dynamic observable construction,17.9295,17.8674,18.1231,0.95,Linux GCC,make more beautiful (d09041d2),rpp
192,Observable construction,Specific observable construction + as_dynamic,17.5957,17.5358,17.7273,0.95,Linux GCC,make more beautiful (d09041d2),rpp
193,Observer construction,Specific observer construction,0.592081,0.590627,0.598007,0.95,Linux GCC,make more beautiful (d09041d2),rpp
194,Observer construction,Dynamic observer construction,17.7026,17.6348,17.8474,0.95,Linux GCC,make more beautiful (d09041d2),rpp
195,Observer construction,Specific observer construction + as_dynamic,17.656,17.6387,17.6746,0.95,Linux GCC,make more beautiful (d09041d2),rpp
196,OnNext,Specific observer OnNext,0.295832,0.29525,0.298192,0.95,Linux GCC,make more beautiful (d09041d2),rpp
197,OnNext,Dynamic observer OnNext,1.77111,1.77017,1.7748,0.95,Linux GCC,make more beautiful (d09041d2),rpp
198,Subscriber construction,Make subsriber,20.3678,20.3571,20.3987,0.95,Linux GCC,make more beautiful (d09041d2),rpp
199,Subscriber construction,Make copy of subscriber,3.20633,3.20074,3.2272,0.95,Linux GCC,make more beautiful (d09041d2),rpp
200,Subscriber construction,Transform subsriber to dynamic,20.3003,20.226,20.5073,0.95,Linux GCC,make more beautiful (d09041d2),rpp
201,Observable subscribe,Specific observable subscribe specific observer,22.8285,22.7365,23.0346,0.95,Linux GCC,make more beautiful (d09041d2),rpp
202,Observable subscribe,Specific observable subscribe dynamic observer,30.9875,30.9087,31.1816,0.95,Linux GCC,make more beautiful (d09041d2),rpp
203,Observable subscribe,Dynamic observable subscribe specific observer,54.319,54.1649,54.6168,0.95,Linux GCC,make more beautiful (d09041d2),rpp
204,Observable subscribe,Dynamic observable subscribe dynamic observer,31.5459,31.4383,31.8748,0.95,Linux GCC,make more beautiful (d09041d2),rpp
205,Observable lift,Specific observable lift specific observer,26.558,26.4858,26.8178,0.95,Linux GCC,make more beautiful (d09041d2),rpp
206,Observable lift,Specific observable lift dynamic observer,34.6814,34.5693,35.0382,0.95,Linux GCC,make more beautiful (d09041d2),rpp
207,Observable lift,Dynamic observable lift specific observer,61.1723,60.9783,61.8112,0.95,Linux GCC,make more beautiful (d09041d2),rpp
208,Observable lift,Dynamic observable lift dynamic observer,46.8778,46.1581,49.7047,0.95,Linux GCC,make more beautiful (d09041d2),rpp
209,Observable construction,Specific observable construction,0.990103,0.95231,1.03349,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
210,Observable construction,Dynamic observable construction,24.6032,24.1096,25.2375,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
211,Observable construction,Specific observable construction + as_dynamic,18.742,18.4105,19.242,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
212,Observer construction,Specific observer construction,0.965707,0.930526,1.00817,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
213,Observer construction,Dynamic observer construction,21.2736,20.7643,21.8744,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
214,Observer construction,Specific observer construction + as_dynamic,24.5008,24.2415,24.928,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
215,OnNext,Specific observer OnNext,0.651917,0.627369,0.680752,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
216,OnNext,Dynamic observer OnNext,1.87364,1.8195,1.94109,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
217,Subscriber construction,Make subsriber,22.3983,21.7703,23.1097,0.95,Linux CLANG,make more beautiful (d09041d2),rpp
